"Property Crime 5-year Trend"
"Current date: 11/8/2022 3:14:22 PM (Mountain Standard Time)"
"Data source: Colorado_SS, Offense Data"
"Measures: Number of Crimes"
"Jurisdiction by Geography","El Paso County",,,,,,,,,,,,,,,,,,,,,,,,
"Incident Date","2020",,,,,,,,,,,,"2021",,,,,,,,,,,,
"Incident Month","January","February","March","April","May","June","July","August","September","October","November","December","January","February","March","April","May","June","July","August","September","October","November","December",
"Offense Type"
"All Offense Types","4,041","3,419","3,370","3,429","3,561","3,641","3,839","4,099","3,883","3,699","3,762","4,465","4,839","3,544","4,928","3,277","3,859","3,647","3,797","3,520","3,979","4,044","3,946","3,774"
"Crimes Against Person","751","653","622","606","747","748","750","797","738","629","587","616","713","534","581","638","709","738","772","806","735","794","704","657"
"Murder and Nonnegligent Manslaughter","6","5","8","1","4","4","2","2","3","8","5","1","3","7","2","4","10","4","1","2","3","7","8","4"
"Negligent Manslaughter","","","1","","","1","1","1","","","","2","","1","","3","","","1","1","","1","1","1"
"Justifiable Homicide","","","","","","","","","","","","","","","","","","","","","","","",""
"Kidnapping/Abduction","44","49","35","43","41","28","54","55","48","46","36","38","59","35","41","27","43","50","36","51","39","45","38","41"
"Rape","61","40","33","29","33","39","36","39","29","31","21","32","50","26","25","44","30","32","35","34","31","40","33","23"
"Sodomy","13","5","10","1","9","7","10","13","10","11","2","5","7","6","7","8","3","6","8","6","2","7","5","10"
"Sexual Assault With An Object","20","15","10","6","20","12","14","5","11","15","15","10","13","12","11","8","6","5","10","4","15","9","9","9"
"Fondling","61","17","29","18","31","33","38","23","23","17","30","25","41","24","36","27","35","39","39","38","43","46","30","19"
"Incest","2","1","2","","1","1","1","2","2","3","1","1","","","3","2","","","4","","3","2","","2"
"Statutory Rape","3","","1","1","2","1","2","2","1","1","1","","2","","1","","","","3","","","","1","6"
"Aggravated Assault","176","152","177","211","245","241","234","286","276","209","182","194","196","152","181","199","223","269","220","258","241","239","226","207"
"Simple Assault","333","329","266","257","315","324","295","298","276","245","244","257","280","230","233","264","305","297","349","337","301","350","301","291"
"Intimidation","31","40","47","39","45","57","61","70","56","38","50","48","56","41","40","50","53","36","66","73","56","48","49","43"
"Human Trafficking, Commercial Sex Acts","","","3","","1","","2","1","3","3","","3","6","","1","1","1","","","1","1","","3","1"
"Human Trafficking, Involuntary Servitude","1","","","","","","","","","2","","","","","","1","","","","1","","","",""
"Crimes Against Property","2,874","2,417","2,461","2,447","2,446","2,602","2,704","2,929","2,746","2,699","2,865","3,609","3,750","2,676","3,943","2,277","2,817","2,580","2,686","2,325","2,933","2,982","2,926","2,828"
"Arson","13","8","9","17","20","19","22","19","16","21","12","17","17","12","13","23","12","9","17","15","21","36","30","28"
"Bribery","","","","","","","","","","1","","","","","","","","","","1","","2","",""
"Burglary/Breaking & Entering","232","233","241","245","260","271","267","294","270","263","285","278","289","213","218","184","303","247","275","237","295","329","236","263"
"Counterfeiting/Forgery","85","65","53","44","41","29","31","36","35","37","41","56","37","28","24","24","24","26","30","24","21","25","32","27"
"Destruction/Damage/Vandalism of Property","383","352","384","373","425","475","479","519","438","476","445","478","411","338","459","411","479","542","557","472","596","584","590","556"
"Embezzlement","2","1","3","1","","2","1","1","1","1","3","","2","","3","2","","1","4","1","2","","1","1"
"Extortion/Blackmail","10","7","9","8","18","11","12","14","7","7","13","11","25","13","9","7","11","8","13","17","8","16","5","5"
"False Pretenses/Swindle/Confidence Game","75","59","53","57","65","57","67","63","68","40","52","58","63","51","54","47","59","53","43","32","39","41","42","49"
"Credit Card/Automated Teller Machine Fraud","109","89","83","76","79","87","69","97","101","82","95","92","63","48","68","53","95","56","30","40","90","53","62","69"
"Impersonation","54","40","37","44","36","39","33","38","39","35","54","202","203","130","316","63","36","32","38","36","42","38","36","32"
"Welfare Fraud","","","","","","","","","","","","1","4","1","2","","","","","1","","","",""
"Wire Fraud","","","","","","","2","1","","","","2","1","1","","","","","","1","","2","",""
"Identity Theft","173","132","139","120","123","168","168","215","197","176","272","866","892","529","1,307","218","163","119","162","131","147","167","165","174"
"Hacking/Computer Invasion","4","6","4","5","8","10","2","5","1","8","7","2","3","1","9","5","5","6","5","4","4","6","4","6"
"Robbery","64","44","39","24","29","38","43","26","29","34","39","31","49","31","40","39","30","31","32","28","43","41","36","32"
"Pocket-picking","","7","3","","","","2","1","","3","","3","2","","5","","1","","1","1","","1","","1"
"Purse-snatching","7","1","4","1","2","1","","4","1","1","1","1","2","","3","","1","4","1","","2","1","2","2"
"Shoplifting","204","198","221","224","189","207","195","213","190","176","207","228","227","184","165","155","144","137","181","147","165","134","159","139"
"Theft From Building","131","116","105","84","80","86","110","100","86","89","95","88","88","68","57","88","104","97","89","85","75","80","77","77"
"Theft From Coin Operated Machine or Device","3","9","6","4","6","4","1","6","8","8","7","9","8","9","9","2","6","8","4","5","6","8","5","8"
"Theft From Motor Vehicle","525","342","330","417","346","417","425","502","456","473","458","391","466","363","370","308","466","342","324","258","493","437","517","470"
"Theft of Motor Vehicle Parts/Accessories","165","158","166","152","164","145","143","189","180","157","143","140","170","139","182","146","169","213","195","201","192","204","188","168"
"All Other Larceny","310","296","294","289","317","298","318","282","300","310","317","355","362","265","319","268","402","365","372","309","343","390","362","356"
"Motor Vehicle Theft","290","229","250","243","207","214","280","270","297","269","283","275","323","226","282","203","268","257","285","248","310","331","349","339"
"Stolen Property Offenses","35","25","28","19","31","24","34","34","26","32","36","25","43","26","29","31","39","27","28","31","39","56","28","26"
"Crimes Against Society","416","349","287","376","368","291","385","373","399","371","310","240","376","334","404","362","333","329","339","389","311","268","316","289"
"Drug/Narcotic Violations","197","168","132","163","147","128","166","154","191","157","128","108","181","154","194","174","172","147","149","171","139","107","139","116"
"Drug Equipment Violations","99","101","70","86","93","58","84","60","82","86","64","43","79","70","83","74","64","60","74","93","66","57","58","54"
"Betting/Wagering","","","","","","","","1","","","","","","","","","","","","","","","",""
"Operating/Promoting/Assisting Gambling","","1","","","","","","","","","","","","","","","","","","","","","",""
"Gambling Equipment Violations","","","","","","","","","","","","","","","","","","","","","","","",""
"Sports Tampering","","","","","","","","","","","","","","","","","","","","","","","",""
"Pornography/Obscene Material","21","10","12","16","20","15","18","12","11","15","20","15","17","10","6","14","9","7","9","10","10","11","12","12"
"Prostitution","1","2","","1","1","4","7","4","","2","","1","3","2","1","2","1","","","7","","2","2","3"
"Assisting or Promoting Prostitution","6","3","2","6","4","2","6","2","6","12","6","6","9","6","6","3","4","3","1","11","4","3","3","2"
"Purchasing Prostitution","","","","","","","","","","","","","","","","","","","","","","","",""
"Weapon Law Violations","88","61","69","102","99","77","99","136","102","96","90","63","81","89","106","90","81","106","104","89","90","84","101","100"
"Animal Cruelty","4","3","2","2","4","7","5","4","7","3","2","4","6","3","8","5","2","6","2","8","2","4","1","2"
"Missing","","","","","","","","","","","","","","","","","","","","","","","",""
"Non-Reportable NIBRS Offense","","","","","","","","","","","","","","","","","","","","","","","",""
"Property Crime","2,346","1,959","1,975","1,985","1,911","2,042","2,125","2,306","2,223","2,124","2,315","3,022","3,215","2,259","3,406","1,779","2,252","1,967","2,037","1,764","2,246","2,263","2,240","2,185"
"Robbery","64","44","39","24","29","38","43","26","29","34","39","31","49","31","40","39","30","31","32","28","43","41","36","32"
"Larceny","1,345","1,127","1,129","1,171","1,104","1,158","1,194","1,297","1,221","1,217","1,228","1,215","1,325","1,028","1,110","967","1,293","1,166","1,167","1,006","1,276","1,255","1,310","1,221"
"Burglary","232","233","241","245","260","271","267","294","270","263","285","278","289","213","218","184","303","247","275","237","295","329","236","263"
"Fraud","415","326","316","302","311","361","341","419","406","341","480","1,223","1,229","761","1,756","386","358","266","278","245","322","307","309","330"
"Motor Vehicle Theft","290","229","250","243","207","214","280","270","297","269","283","275","323","226","282","203","268","257","285","248","310","331","349","339"
