,date,numberOfOffenses,covidDeaths,totalCovidDeaths,maskMandate
0,2020-01-22,106,0,0,No
1,2020-01-23,80,0,0,No
2,2020-01-24,105,0,0,No
3,2020-01-25,89,0,0,No
4,2020-01-26,90,0,0,No
5,2020-01-27,92,0,0,No
6,2020-01-28,105,0,0,No
7,2020-01-29,92,0,0,No
8,2020-01-30,91,0,0,No
9,2020-01-31,100,0,0,No
10,2020-02-01,161,0,0,No
11,2020-02-02,93,0,0,No
12,2020-02-03,97,0,0,No
13,2020-02-04,84,0,0,No
14,2020-02-05,85,0,0,No
15,2020-02-06,80,0,0,No
16,2020-02-07,87,0,0,No
17,2020-02-08,99,0,0,No
18,2020-02-09,82,0,0,No
19,2020-02-10,103,0,0,No
20,2020-02-11,104,0,0,No
21,2020-02-12,113,0,0,No
22,2020-02-13,81,0,0,No
23,2020-02-14,105,0,0,No
24,2020-02-15,88,0,0,No
25,2020-02-16,71,0,0,No
26,2020-02-17,74,0,0,No
27,2020-02-18,97,0,0,No
28,2020-02-19,89,0,0,No
29,2020-02-20,104,0,0,No
30,2020-02-21,93,0,0,No
31,2020-02-22,94,0,0,No
32,2020-02-23,93,0,0,No
33,2020-02-24,102,0,0,No
34,2020-02-25,84,0,0,No
35,2020-02-26,75,0,0,No
36,2020-02-27,87,0,0,No
37,2020-02-28,77,0,0,No
38,2020-02-29,106,0,0,No
39,2020-03-01,129,0,0,No
40,2020-03-02,77,0,0,No
41,2020-03-03,86,0,0,No
42,2020-03-04,95,0,0,No
43,2020-03-05,115,0,0,No
44,2020-03-06,98,0,0,No
45,2020-03-07,91,0,0,No
46,2020-03-08,75,0,0,No
47,2020-03-09,103,0,0,No
48,2020-03-10,98,0,0,No
49,2020-03-11,104,0,0,No
50,2020-03-12,87,1,1,No
51,2020-03-13,77,1,2,No
52,2020-03-14,85,0,2,No
53,2020-03-15,91,0,2,No
54,2020-03-16,91,0,2,No
55,2020-03-17,104,0,2,No
56,2020-03-18,87,0,2,No
57,2020-03-19,78,1,3,No
58,2020-03-20,87,0,3,No
59,2020-03-21,59,0,3,No
60,2020-03-22,66,0,3,No
61,2020-03-23,83,0,3,No
62,2020-03-24,87,1,4,No
63,2020-03-25,110,1,5,No
64,2020-03-26,91,0,5,No
65,2020-03-27,88,2,7,No
66,2020-03-28,67,3,10,No
67,2020-03-29,102,1,11,No
68,2020-03-30,75,0,11,No
69,2020-03-31,105,2,13,No
70,2020-04-01,154,36,49,No
71,2020-04-02,86,2,51,No
72,2020-04-03,91,5,56,No
73,2020-04-04,86,2,58,No
74,2020-04-05,79,0,58,No
75,2020-04-06,84,3,61,No
76,2020-04-07,96,1,62,No
77,2020-04-08,102,2,64,No
78,2020-04-09,91,0,64,No
79,2020-04-10,101,0,64,No
80,2020-04-11,104,0,64,No
81,2020-04-12,77,1,65,No
82,2020-04-13,68,1,66,No
83,2020-04-14,72,0,66,No
84,2020-04-15,99,0,66,No
85,2020-04-16,90,0,66,No
86,2020-04-17,93,0,66,No
87,2020-04-18,87,0,66,No
88,2020-04-19,97,0,66,No
89,2020-04-20,101,1,67,No
90,2020-04-21,98,0,67,No
91,2020-04-22,106,0,67,No
92,2020-04-23,81,6,73,No
93,2020-04-24,121,0,73,No
94,2020-04-25,76,1,74,No
95,2020-04-26,101,0,74,No
96,2020-04-27,98,0,74,No
97,2020-04-28,91,0,74,No
98,2020-04-29,99,1,75,No
99,2020-04-30,88,1,76,No
100,2020-05-01,157,1,77,No
101,2020-05-02,79,1,78,No
102,2020-05-03,90,0,78,No
103,2020-05-04,118,0,78,No
104,2020-05-05,94,0,78,No
105,2020-05-06,104,0,78,No
106,2020-05-07,88,1,79,No
107,2020-05-08,98,0,79,No
108,2020-05-09,80,1,80,No
109,2020-05-10,92,0,80,No
110,2020-05-11,111,0,80,No
111,2020-05-12,99,0,80,No
112,2020-05-13,99,0,80,No
113,2020-05-14,112,2,82,No
114,2020-05-15,75,0,82,No
115,2020-05-16,78,0,82,No
116,2020-05-17,80,0,82,No
