"date","Number of Incidents"
"Jan 1,  2020","264"
"Jan 2,  2020","106"
"Jan 3,  2020","113"
"Jan 4,  2020","117"
"Jan 5,  2020","96"
"Jan 6,  2020","99"
"Jan 7,  2020","114"
"Jan 8,  2020","96"
"Jan 9,  2020","112"
"Jan 10,  2020","131"
"Jan 11,  2020","91"
"Jan 12,  2020","104"
"Jan 13,  2020","106"
"Jan 14,  2020","88"
"Jan 15,  2020","97"
"Jan 16,  2020","88"
"Jan 17,  2020","110"
"Jan 18,  2020","87"
"Jan 19,  2020","88"
"Jan 20,  2020","94"
"Jan 21,  2020","96"
"Jan 22,  2020","106"
"Jan 23,  2020","80"
"Jan 24,  2020","105"
"Jan 25,  2020","89"
"Jan 26,  2020","90"
"Jan 27,  2020","92"
"Jan 28,  2020","105"
"Jan 29,  2020","92"
"Jan 30,  2020","91"
"Jan 31,  2020","100"
"Feb 1,  2020","161"
"Feb 2,  2020","93"
"Feb 3,  2020","97"
"Feb 4,  2020","84"
"Feb 5,  2020","85"
"Feb 6,  2020","80"
"Feb 7,  2020","87"
"Feb 8,  2020","99"
"Feb 9,  2020","82"
"Feb 10,  2020","103"
"Feb 11,  2020","104"
"Feb 12,  2020","113"
"Feb 13,  2020","81"
"Feb 14,  2020","105"
"Feb 15,  2020","88"
"Feb 16,  2020","71"
"Feb 17,  2020","74"
"Feb 18,  2020","97"
"Feb 19,  2020","89"
"Feb 20,  2020","104"
"Feb 21,  2020","93"
"Feb 22,  2020","94"
"Feb 23,  2020","93"
"Feb 24,  2020","102"
"Feb 25,  2020","84"
"Feb 26,  2020","75"
"Feb 27,  2020","87"
"Feb 28,  2020","77"
"Feb 29,  2020","106"
"Mar 1,  2020","129"
"Mar 2,  2020","77"
"Mar 3,  2020","86"
"Mar 4,  2020","95"
"Mar 5,  2020","115"
"Mar 6,  2020","98"
"Mar 7,  2020","91"
"Mar 8,  2020","75"
"Mar 9,  2020","103"
"Mar 10,  2020","98"
"Mar 11,  2020","104"
"Mar 12,  2020","87"
"Mar 13,  2020","77"
"Mar 14,  2020","85"
"Mar 15,  2020","91"
"Mar 16,  2020","91"
"Mar 17,  2020","104"
"Mar 18,  2020","87"
"Mar 19,  2020","78"
"Mar 20,  2020","87"
"Mar 21,  2020","59"
"Mar 22,  2020","66"
"Mar 23,  2020","83"
"Mar 24,  2020","87"
"Mar 25,  2020","110"
"Mar 26,  2020","91"
"Mar 27,  2020","88"
"Mar 28,  2020","67"
"Mar 29,  2020","102"
"Mar 30,  2020","75"
"Mar 31,  2020","105"
"Apr 1,  2020","154"
"Apr 2,  2020","86"
"Apr 3,  2020","91"
"Apr 4,  2020","86"
"Apr 5,  2020","79"
"Apr 6,  2020","84"
"Apr 7,  2020","96"
"Apr 8,  2020","102"
"Apr 9,  2020","91"
"Apr 10,  2020","101"
"Apr 11,  2020","104"
"Apr 12,  2020","77"
"Apr 13,  2020","68"
"Apr 14,  2020","72"
"Apr 15,  2020","99"
"Apr 16,  2020","90"
"Apr 17,  2020","93"
"Apr 18,  2020","87"
"Apr 19,  2020","97"
"Apr 20,  2020","101"
"Apr 21,  2020","98"
"Apr 22,  2020","106"
"Apr 23,  2020","81"
"Apr 24,  2020","121"
"Apr 25,  2020","76"
"Apr 26,  2020","101"
"Apr 27,  2020","98"
"Apr 28,  2020","91"
"Apr 29,  2020","99"
"Apr 30,  2020","88"
"May 1,  2020","157"
"May 2,  2020","79"
"May 3,  2020","90"
"May 4,  2020","118"
"May 5,  2020","94"
"May 6,  2020","104"
"May 7,  2020","88"
"May 8,  2020","98"
"May 9,  2020","80"
"May 10,  2020","92"
"May 11,  2020","111"
"May 12,  2020","99"
"May 13,  2020","99"
"May 14,  2020","112"
"May 15,  2020","75"
"May 16,  2020","78"
"May 17,  2020","80"
"May 18,  2020","106"
"May 19,  2020","99"
"May 20,  2020","74"
"May 21,  2020","75"
"May 22,  2020","91"
"May 23,  2020","78"
"May 24,  2020","70"
"May 25,  2020","86"
"May 26,  2020","122"
"May 27,  2020","97"
"May 28,  2020","97"
"May 29,  2020","86"
"May 30,  2020","88"
"May 31,  2020","85"
"Jun 1,  2020","146"
"Jun 2,  2020","104"
"Jun 3,  2020","107"
"Jun 4,  2020","85"
"Jun 5,  2020","98"
"Jun 6,  2020","93"
"Jun 7,  2020","90"
"Jun 8,  2020","111"
"Jun 9,  2020","69"
"Jun 10,  2020","97"
"Jun 11,  2020","93"
"Jun 12,  2020","98"
"Jun 13,  2020","96"
"Jun 14,  2020","94"
"Jun 15,  2020","103"
"Jun 16,  2020","97"
"Jun 17,  2020","90"
"Jun 18,  2020","86"
"Jun 19,  2020","90"
"Jun 20,  2020","100"
"Jun 21,  2020","103"
"Jun 22,  2020","95"
"Jun 23,  2020","93"
"Jun 24,  2020","106"
"Jun 25,  2020","124"
"Jun 26,  2020","107"
"Jun 27,  2020","101"
"Jun 28,  2020","74"
"Jun 29,  2020","89"
"Jun 30,  2020","118"
"Jul 1,  2020","142"
"Jul 2,  2020","108"
"Jul 3,  2020","116"
